-,-,-
8, -23, 996
-42, 2, 1018
-42, 2, 1018
-32, 3, 1006
-22, -8, 1006
-19, -15, 1006
-24, -1, 1007
-24, -1, 1007
-24, 1, 1007
-32, 8, 1006
-39, 17, 1006
-22, 0, 1005
-22, 0, 1005
34, 2, 1008
-78, -10, 1006
-37, -1, 1006
40, 17, 1008
40, 17, 1008
-40, 0, 1006
-35, -5, 1007
-41, -6, 1006
-47, -17, 1007
-47, -17, 1007
-28, -5, 1007
-24, -2, 1006
-24, 0, 1006
-26, -1, 1007
-26, -1, 1007
-24, -2, 1007
-26, -2, 1008
30, -64, 1008
-61, -42, 1005
-30, 20, 1006
-30, 20, 1006
-30, 38, 1007
-34, 33, 1008
-25, 0, 1006
-24, 0, 1007
-24, 0, 1007
-23, 0, 1006
-26, -6, 1007
-29, 9, 1009
-9, 40, 1005
-9, 40, 1005
11, -1, 1006
-45, -19, 1006
-17, -17, 1007
-61, -27, 1006
-25, -5, 1007
-25, -5, 1007
-27, -1, 1008
-15, -103, 1005
-24, 8, 1007
-30, 37, 1005
-28, 49, 1009
-28, 49, 1009
-24, 0, 1005
-24, 1, 1009
-27, -7, 1005
-25, -7, 1006
-25, -7, 1006
-8, 38, 1005
-24, -12, 1006
-33, -21, 1008
-34, -15, 1006
-27, -2, 1007
-27, -2, 1007
-23, 0, 1006
-51, -113, 1002
-32, 23, 1010
3, 55, 1004
3, 55, 1004
-19, 25, 1008
-25, -3, 1005
-34, 10, 1012
-6, 18, 1000
-6, 18, 1000
-20, -10, 1006
-31, -12, 1006
-23, 3, 1007
-33, -13, 1006
-27, -12, 1007
-27, -12, 1007
-24, -1, 1006
-,-,-
-26, -2, 1004
-27, -2, 1010
-27, -2, 1010
-24, -2, 1006
-24, -2, 1006
-25, -1, 1006
-26, -2, 1007
-26, -2, 1007
-24, -2, 1006
-20, -5, 1003
46, -23, 1010
-63, 5, 1010
88, 3, 1002
88, 3, 1002
-51, -21, 1010
-74, 4, 1004
-103, 16, 1009
-103, 16, 1009
-25, -4, 1005
-16, -20, 1008
-31, 14, 1005
-30, 11, 1009
-38, -11, 1005
-18, -7, 1006
-18, -7, 1006
-16, 1, 1007
-25, 0, 1007
-26, 0, 1006
-26, 0, 1008
-26, 0, 1008
-15, 51, 1009
-25, -35, 1005
-20, -13, 1007
-23, -15, 1008
-43, -7, 1007
-43, -7, 1007
-25, -4, 1008
-44, -93, 1004
-13, 50, 1008
-20, 31, 1008
-23, 8, 1009
-23, 8, 1009
-29, 8, 1006
-46, -1, 1005
2, -16, 1006
2, -16, 1006
-26, -3, 1009
-25, -2, 1006
-23, 0, 1007
-25, -2, 1005
-25, -2, 1005
6, 18, 1006
-25, -5, 1010
-38, -11, 1008
-47, -11, 1006
-25, -34, 1012
-25, -34, 1012
-32, -4, 1001
-20, 34, 1010
-31, 18, 1006
-75, -10, 1007
22, -15, 1005
22, -15, 1005
-13, -1, 1009
-26, -2, 1006
-24, -1, 1007
-25, 0, 1007
-30, 5, 1006
-,-,-
-30, -2, 1004
-17, -10, 1013
-20, -14, 1004
-31, -12, 1007
-31, -12, 1007
-33, -1, 1005
-24, 13, 1008
-22, 13, 1007
-25, 0, 1007
-28, 2, 1008
-28, 2, 1008
