-,-,-
-14, -8, 985
-39, 7, 998
-39, 7, 998
-25, -1, 1009
7, -27, 1008
-16, 0, 1009
-16, 0, 1009
-47, 11, 1009
-37, 6, 1008
-39, 10, 1008
-26, 0, 1008
-26, 0, 1008
-26, 0, 1010
-26, 0, 1009
-26, 0, 1009
45, -11, 1010
45, -11, 1010
-,-,-
10, -47, 1024
-54, 39, 975
-41, 15, 1007
-55, 22, 1008
-55, 22, 1008
-25, 0, 1009
-26, 0, 1008
-26, -1, 1009
-27, 0, 1009
-27, 0, 1009
-27, 0, 1010
-27, 0, 1008
-27, 0, 1009
-27, 0, 1009
-26, 0, 1010
-26, 1, 1009
-26, 0, 1008
-26, 0, 1008
-27, 0, 1010
-27, 0, 1010
-26, 0, 1008
-27, 0, 1008
-27, 0, 1008
-27, 0, 1009
-27, 0, 1010
-27, 0, 1009
-27, 0, 1009
-26, 0, 1009
-26, 0, 1010
-27, 0, 1008
-27, 0, 1008
-27, 0, 1008
-26, 0, 1010
-26, 0, 1009
-26, 0, 1009
-26, 0, 1009
-26, 0, 1009
-27, 0, 1011
-26, 0, 1009
-26, 0, 1009
-26, 0, 1008
-27, 0, 1009
-26, 0, 1009
-26, 0, 1009
-26, 0, 1008
-27, 0, 1008
-27, 0, 1011
-26, 0, 1009
-26, 0, 1009
-26, 0, 1008
-27, 0, 1010
-27, 0, 1010
-27, 0, 1010
-26, 0, 1008
-26, 0, 1009
-26, 0, 1009
-26, 0, 1009
-14, -8, 1009
-33, 4, 1009
-33, 5, 1009
-26, 0, 1009
-26, 0, 1009
-15, -8, 1009
-32, 4, 1009
-32, 5, 1009
-32, 5, 1009
-26, 0, 1009
-26, 0, 1008
-26, 0, 1009
-27, 1, 1010
-27, 1, 1010
